"name","mz","rt"
"nHILIC_239.0771_7.6",239.0771,90
"nHILIC_179.0561_7.6",179.0561,90
"nHILIC_174.0883_10.1",174.0883,40
"nHILIC_329.0306_10.8",329.0306,90
"nHILIC_279.2328_1",279.2328,92
"nHILIC_303.2327_1",303.2327,32
"nHILIC_230.0127_2.1",230.0127,0
"nHILIC_188.0716_2.1",188.0716,80
"nHILIC_243.0621_3.4",243.0621,30
"nHILIC_441.1596_3.7",441.1596,11
"nHILIC_267.0719_4.2",267.0719,70
"nHILIC_746.5159_4.2",746.5159,65
"nHILIC_241.087_1.1",241.087,10
"nHILIC_740.525_4.5",740.525,5
"nHILIC_224.0617_4.8",224.0617,40
"nHILIC_217.0651_5",217.0651,70
"nHILIC_271.0614_5.2",271.0614,10
"nHILIC_151.0611_5.4",151.0611,10
"nHILIC_204.0665_5.1",204.0665,40
"nHILIC_512.2684_5.7",512.2684,22
"nHILIC_243.0621_5.8",243.0621,30
"nHILIC_194.0458_6.6",194.0458,40
"nHILIC_181.0367_6.8",181.0367,10
"nHILIC_245.0431_7.2",245.0431,50
"nHILIC_243.0509_8.1",243.0509,30
"nHILIC_335.0495_8.3",335.0495,50
"nHILIC_132.0302_8.3",132.0302,20
"nHILIC_124.0073_8.7",124.0073,40
"nHILIC_190.0356_10.6",190.0356,0
"nHILIC_160.0615_10.7",160.0615,0
"nHILIC_133.0142_10.4",133.0142,30
"nHILIC_203.1037_10.8",203.1037,31
"nHILIC_247.057_11.8",247.057,70
"nHILIC_165.0403_11",165.0403,50
"nHILIC_399.0965_7.8",399.0965,90
"nHILIC_401.0758_7.6",401.0758,10
"nHILIC_144.0302_7.2",144.0302,40
"nHILIC_119.0349_5.7",119.0349,90
"nHILIC_277.2171_1",277.2171,72
"nHILIC_188.9862_0.9",188.9862,89
"nHILIC_281.2484_1",281.2484,12
"nHILIC_327.2328_1",327.2328,72
"nHILIC_167.0349_1.3",167.0349,70
"nHILIC_188.0023_1.6",188.0023,80
"nHILIC_115.0399_2",115.0399,50
"nHILIC_459.1407_2.1",459.1407,91
"nHILIC_183.0294_2.1",183.0294,30
"nHILIC_281.089_2.2",281.089,10
"nHILIC_212.0022_3",212.0022,20
"nHILIC_253.0927_3.2",253.0927,30
"nHILIC_165.0768_3.4",165.0768,50
"nHILIC_111.0199_3.4",111.0199,10
"nHILIC_343.0993_3.5",343.0993,30
"nHILIC_121.0505_3.5",121.0505,10
"nHILIC_177.0226_3.6",177.0226,70
"nHILIC_197.0678_4.1",197.0678,70
"nHILIC_87.045_4.2",87.045,70
"nHILIC_151.0261_4.3",151.0261,10
"nHILIC_724.5298_4.4",724.5298,45
"nHILIC_133.0506_4.4",133.0506,30
"nHILIC_87.0087_4.4",87.0087,70
"nHILIC_742.5417_4.6",742.5417,25
"nHILIC_103.04_4.6",103.04,30
"nHILIC_176.0387_4.9",176.0387,60
"nHILIC_171.0775_5",171.0775,10
"nHILIC_131.0349_5.1",131.0349,10
"nHILIC_833.5227_5.2",833.5227,35
"nHILIC_481.244_5.2",481.244,12
"nHILIC_157.0366_6.1",157.0366,70
"nHILIC_130.0872_6.3",130.0872,0
